Vendor,Product,Version,Vulnerabilities Fixed
"HP, Inc.",HP Anyware Linux Agent,See HP security bulletin reference for affected versions,CVE-2025-1003
"HP, Inc.",Poly Edge E,See HP security bulletin reference for affected versions,CVE-2025-0858
HT Plugins,HT Conctact Form 7,Unknown,CVE-2025-24726
Haider Ali,Bulk Categories Assign,Unknown,CVE-2025-23582
Hakan Ozevin,WP BASE Booking,Unknown,CVE-2025-22684
Haptiq,picu – Online Photo Proofing Gallery,Unknown,CVE-2025-24590
Harsh,iSpring Embedder,Unknown,CVE-2025-23922
Harun R. Rayhan (Cr@zy Coder),CC Circle Progress Bar,Unknown,CVE-2025-23936
HasThemes,Extensions For CF7,Unknown,CVE-2025-24695
HasThemes,Free WooCommerce Theme 99fy Extension,Unknown,CVE-2025-22801
HashThemes,Hash Elements,Unknown,CVE-2025-22296
HashiCorp,Shared library,0,CVE-2025-0377
HelloAsso,HelloAsso,Unknown,CVE-2025-24575
Helmuth Lammer,Tagesteller,Unknown,CVE-2025-23609
Hemnath Mouli,WC Wallet,Unknown,CVE-2025-23527
Hernan Javier Hegykozi,MercadoLibre Integration,Unknown,CVE-2025-23659
Hesabfa,Hesabfa Accounting,Unknown,CVE-2025-22682
Hewlett Packard Enterprise (HPE),HPE Aruba Networking AOS,10.4.0.0,"CVE-2025-23051, CVE-2025-23052"
Hewlett Packard Enterprise (HPE),HPE Aruba Networking ClearPass Policy Manager,6.12.0,"CVE-2025-23058, CVE-2025-23059, CVE-2025-23060, CVE-2025-25039"
Hewlett Packard Enterprise (HPE),HPE Aruba Networking Fabric Composer (AFC),7.0.0,"CVE-2025-23053, CVE-2025-23054, CVE-2025-23055, CVE-2025-23056, CVE-2025-23057"
Hidetoshi Fukushima,Kumihimo,Unknown,CVE-2025-23626
HireHive,HireHive Job Plugin,Unknown,CVE-2025-22746
Hiren Patel,WP Music Player,Unknown,CVE-2025-22536
Hitesh Patel,Metadata SEO,Unknown,CVE-2025-22516
Hive Support,Hive Support – WordPress Help Desk,Unknown,CVE-2025-22298
Holded,Holded,all versions,CVE-2025-1076
Houzez.co,Houzez,Unknown,"CVE-2025-24747, CVE-2025-24754"
Humming Heads Inc.,Defense Platform Home Edition,Ver.3.9.51.x and earlier,"CVE-2025-20094, CVE-2025-22890, CVE-2025-22894, CVE-2025-23236, CVE-2025-24483, CVE-2025-24845"
Huurkalender,Huurkalender WP,Unknown,CVE-2025-22528
Hyland,Alfresco Community Edition,6.2.0,CVE-2025-0557
I Thirteen Web Solution,Email Subscription Popup,Unknown,CVE-2025-24587
"I-O DATA DEVICE, INC.",UD-LT2,firmware Ver.1.00.008_SE and earlier,"CVE-2025-20617, CVE-2025-22450, CVE-2025-23237"
IBL Software Engineering,Visual Weather,8.2.5,CVE-2025-1077
IBM,EntireX,11.1,CVE-2025-0158
IBM,IBM App Connect Enterprise,13.0.1.0,CVE-2025-0799
IBM,Tivoli Application Dependency Discovery Manager,7.3.0.0,CVE-2025-23227
IETF,IPv6,6,"CVE-2025-23018, CVE-2025-23019"
IOBit,Protected Folder,1.0,CVE-2025-0221
IObit,Protected Folder,13.6.0.0,"CVE-2025-0222, CVE-2025-0223"
IP2Location,Download IP2Location Country Blocker,Unknown,CVE-2025-24731
ITMOOTI,Theme My Ontraport Smartform,Unknown,CVE-2025-23717
Igor Sazonov,Len Slider,Unknown,CVE-2025-23810
Impronta,Janto,0,"CVE-2025-1107, CVE-2025-1108"
Infomaniak Staff,VOD Infomaniak,Unknown,CVE-2025-22729
Infosoft Consultant,Order Audit Log for WooCommerce,Unknown,CVE-2025-22337
Innovative Solutions,user files,Unknown,CVE-2025-23953
Instabot,Instabot,Unknown,CVE-2025-22571
Intelbras,InControl,2.21.0,CVE-2025-0784
Intuitive Design,GDReseller,Unknown,CVE-2025-23567
Invoice Ninja,Invoice Ninja,5.8.56,CVE-2025-0474
Iqonic Design,WPBookit,*,CVE-2025-0357
Ivan Chernyakov,LawPress – Law Firm Website Management,Unknown,CVE-2025-23756
Ivanti,Connect Secure,22.7R2,CVE-2025-0282
Ivanti,Connect Secure,22.7R2.5,CVE-2025-0283
Ivo Brett – ApplyMetrics,Apply with LinkedIn buttons,Unknown,"CVE-2025-23897, CVE-2025-23898"
Iván R. Delgado Martínez,WP Custom Google Search,Unknown,CVE-2025-23698
JS Morisset,JSM Show Post Metadata,Unknown,CVE-2025-24589
James Andrews,Full Circle,Unknown,CVE-2025-23980
James Bavington,WP Headmaster,Unknown,CVE-2025-22755
Jason Funk,Title Experiments Free,Unknown,"CVE-2025-22561, CVE-2025-22562"
"Jason Keeley, Bryan Nielsen",Affiliate Disclosure Statement,Unknown,CVE-2025-22552
Jay Carter,WP Bulletin Board,Unknown,CVE-2025-22776
Jay Krishnan G,JK Html To Pdf,Unknown,CVE-2025-22547
Jenkins Project,Jenkins Azure Service Fabric Plugin,0,"CVE-2025-24402, CVE-2025-24403"
Jenkins Project,Jenkins Bitbucket Server Integration Plugin,2.1.0,CVE-2025-24398
Jenkins Project,Jenkins Eiffel Broadcaster Plugin,2.8.0,CVE-2025-24400
Jenkins Project,Jenkins Folder-based Authorization Strategy Plugin,0,CVE-2025-24401
Jenkins Project,Jenkins GitLab Plugin,0,CVE-2025-24397
Jenkins Project,Jenkins OpenId Connect Authentication Plugin,4.453.v4d7765c854f4,CVE-2025-24399
Jens Remus,WP krpano,Unknown,CVE-2025-23876
Jens Törnell,WP Simple Sitemap,Unknown,CVE-2025-22342
JetBrains,Hub,0,CVE-2025-24456
JetBrains,ReSharper,2024.3,CVE-2025-23385
JetBrains,TeamCity,0,"CVE-2025-24459, CVE-2025-24460, CVE-2025-24461"
JetBrains,YouTrack,0,"CVE-2025-24457, CVE-2025-24458"
Jewel Theme,Image Hover Effects for Elementor,Unknown,CVE-2025-22323
Jimmy Hu,Spiderpowa Embed PDF,Unknown,CVE-2025-23807
Jimmy Peña,Feedburner Optin Form,Unknown,CVE-2025-23925
Jobair,JB Horizontal Scroller News Ticker,Unknown,CVE-2025-23830
Joe Dolson,My Tickets,Unknown,CVE-2025-22717
Joe Hawes,Auction Nudge – Your eBay on Your Site,Unknown,CVE-2025-24658
Joe Motacek,ICS Button,Unknown,CVE-2025-22574
JoeyBling,bootplus,247d5f6c209be1a5cf10cd0fa18e1d8cc63cf55d,"CVE-2025-0698, CVE-2025-0699, CVE-2025-0700, CVE-2025-0701, CVE-2025-0702, CVE-2025-0703, CVE-2025-0704, CVE-2025-0705, CVE-2025-0706"
Johan Ström,Background Control,Unknown,CVE-2025-22784
Jonathan Kern,WPListCal,Unknown,CVE-2025-22535
Jonathan Lau,CubePM,Unknown,CVE-2025-23574
Joomag.,WP Joomag,Unknown,CVE-2025-22827
Joshua Wieczorek,Bible Embed,Unknown,CVE-2025-23513
Joshua Wieczorek,Daily Proverb,Unknown,CVE-2025-23859
Julien Crego,Boot-Modal,Unknown,CVE-2025-22551
Juniper Networks,Junos OS,0,"CVE-2025-21592, CVE-2025-21593, CVE-2025-21596"
Juniper Networks,Junos OS,21.2R3-S8,CVE-2025-21598
Juniper Networks,Junos OS,21.4,"CVE-2025-21600, CVE-2025-21602"
Juniper Networks,Junos OS Evolved,22.4-EVO,CVE-2025-21599
Justin Kuepper,QuoteMedia Tools,Unknown,CVE-2025-23644
Justin Twerdy,Genesis Style Shortcodes,Unknown,CVE-2025-22823
Jérémy Heleine,WP Photo Sphere,Unknown,CVE-2025-23924
KB Support,KB Support,Unknown,CVE-2025-24741
KaTeX,KaTeX,">= 0.12.0, < 0.16.21",CVE-2025-23207
Kadence WP,Gutenberg Blocks by Kadence Blocks,Unknown,CVE-2025-24753
KaiYuanTong,ECT Platform,2.0,CVE-2025-0328
Kapost,Kapost,Unknown,CVE-2025-23712
Kathleen Malone,Find Your Reps,Unknown,CVE-2025-23557
"Katz Web Services, Inc.",Debt Calculator,Unknown,CVE-2025-23861
Kelvin Ng,Shortcode in Comment,Unknown,CVE-2025-23569
KentoThemes,Justified Image Gallery,Unknown,CVE-2025-22518
Kiboko Labs,Chained Quiz,Unknown,CVE-2025-24701
Kiro G.,Formatted post,Unknown,CVE-2025-23709
Kolja Nolte,Flexible Blogtitle,Unknown,CVE-2025-23846
Konrad Karpieszuk,WC Price History for Omnibus,Unknown,CVE-2025-22510
Kopatheme,Kopa Nictitate Toolkit,Unknown,CVE-2025-23965
Kreg Steppe,Auphonic Importer,Unknown,CVE-2025-23649
Ksher,Ksher,Unknown,CVE-2025-22730
Kyle Phillips,Nested Pages,Unknown,CVE-2025-24579
LabRedesCefetRJ,WeGIA,< 3.2.10,"CVE-2025-23218, CVE-2025-23219, CVE-2025-23220"
LabRedesCefetRJ,WeGIA,< 3.2.11,CVE-2025-24020
LabRedesCefetRJ,WeGIA,< 3.2.12,"CVE-2025-24901, CVE-2025-24902, CVE-2025-24905, CVE-2025-24906, CVE-2025-24957, CVE-2025-24958"
LabRedesCefetRJ,WeGIA,< 3.2.6,"CVE-2025-22613, CVE-2025-22614, CVE-2025-22615, CVE-2025-22616, CVE-2025-22618, CVE-2025-22619, CVE-2025-23030, CVE-2025-23031, CVE-2025-23032, CVE-2025-23033, CVE-2025-23034, CVE-2025-23035, CVE-2025-23037, CVE-2025-23038"
LabRedesCefetRJ,WeGIA,< 3.2.7,"CVE-2025-22617, CVE-2025-23036"
LabRedesCefetRJ,WeGIA,< 3.2.8,"CVE-2025-22143, CVE-2025-22596, CVE-2025-22597, CVE-2025-22598, CVE-2025-22599, CVE-2025-22600"
LamPD,Call To Action Popup,Unknown,CVE-2025-23605
Landoweb Programador,World Cup Predictor,Unknown,CVE-2025-22794
Lars Wallenborn,Show/Hide Shortcode,Unknown,CVE-2025-24687
Laxman Thapa,Content Security Policy Pro,Unknown,CVE-2025-23820
Laymance Technologies LLC,MachForm Shortcode,Unknown,CVE-2025-24636
Leetoo,Toocheke Companion,Unknown,CVE-2025-23992
Lenderd,1003 Mortgage Application,Unknown,"CVE-2025-22591, CVE-2025-22592"
Lewe,TeamCal Neo,3.8.2,"CVE-2025-0929, CVE-2025-0930"
Lijit Networks Inc. and Crowd Favorite,Lijit Search,Unknown,CVE-2025-22778
Link Whisper,Link Whisper Free,Unknown,CVE-2025-22306
"Linnea Huxford, LinSoftware",Blur Text,Unknown,CVE-2025-24627
Linus Lundahl,Good Old Gallery,Unknown,CVE-2025-23959
Linux,Linux,046c052b475e7119b6a30e3483e2888fc606a2f8,CVE-2025-21637
Linux,Linux,0bf5eb788512187b744ef7f79de835e6cbe85b9c,CVE-2025-21649
Linux,Linux,0e7ffff1b8117b05635c87d3c9099f6aa9c9b689,CVE-2025-21657
Linux,Linux,1054aee82321483dceabbb9b9e5d6512e8fe684b,CVE-2025-21682
Linux,Linux,1251d2025c3e1bcf1f17ec0f3c0dfae5e5bbb146,CVE-2025-21633
Linux,Linux,153a9961b551101cd38e94e26cd92fbfd198b19b,CVE-2025-21643
Linux,Linux,16aac5ad1fa94894b798dd522c5c3a6a0628d7f0,CVE-2025-21654
Linux,Linux,1da177e4c3f41524e886b7f1b8a0c1fc7321cac2,"CVE-2025-21667, CVE-2025-21672"
Linux,Linux,21a091b970cdbcf3e8ff829234b51be6f9192766,CVE-2025-21655
Linux,Linux,27069e7cb3d1cea9377069266acf19b9cc5ad0ae,CVE-2025-21641
Linux,Linux,27f91aaf49b3a50e5a02ad5fa27b7c453d029a72,CVE-2025-21659
Linux,Linux,2fab02b25ae7cf5f714ab456b03d9a3fe5ae98c9,CVE-2025-21632
Linux,Linux,3c68198e75111a905ac2412be12bf7b29099729b,CVE-2025-21640
Linux,Linux,42437a6386ffeaaf200731e73d723ea491f3fe7d,CVE-2025-21658
Linux,Linux,459aa660eb1d8ce67080da1983bb81d716aa5a69,CVE-2025-21678
Linux,Linux,4baae687a20ef2b82fde12de3c04461e6f2521d6,CVE-2025-21662
Linux,Linux,4c24272b4e2befca6ad1409c3c9aaa16c24b1099,CVE-2025-21674
Linux,Linux,4f3fdf3bc59cafd14c3bc2c2369efad34c7aa8b5,CVE-2025-21639
Linux,Linux,52a62f8603f97e720882c8f5aff2767ac6a11d5f,CVE-2025-21680
Linux,Linux,549e407569e08459d16122341d332cb508024094,CVE-2025-21647
Linux,Linux,54fa39ac2e00b1b8c2a7fe72e648773ffa48f76d,CVE-2025-21665
Linux,Linux,556f5cf9568af772d494cff24ffaa7ea41e1ab40,CVE-2025-21668
Linux,Linux,5b46903d8bf372e563bf2150d46b87fff197a109,CVE-2025-21656
Linux,Linux,5d261f60b5c82ba1e4b5555252e1c90c43d96015,CVE-2025-21679
Linux,Linux,634f1a7110b439c65fd8a809171c1d2d28bcea6f,CVE-2025-21670
Linux,Linux,63a07379fdb6c72450cb05294461c6016b8b7726,CVE-2025-21631
Linux,Linux,644b3051b06ba465bc7401bfae9b14963cbc8c1c,CVE-2025-21681
Linux,Linux,64d85290d79c0677edb5a8ee2295b36c022fa5df,CVE-2025-21683
Linux,Linux,76bb5ab8f6e3e7bebdcefec4146ff305e7d0b465,CVE-2025-21634
Linux,Linux,76c8764ef36a5d37ea2e551bda28ac7f028383ba,CVE-2025-21677
Linux,Linux,7be1b9f3e99f6213d053d16ed2438126931d8351,CVE-2025-21651
Linux,Linux,7be3248f313930ff3d3436d4e9ddbe9fccc1f541,CVE-2025-21673
Linux,Linux,8c55facecd7ade835287298ce325f930d888d8ec,CVE-2025-21652
Linux,Linux,8e60615e8932167057b363c11a7835da7f007106,CVE-2025-21645
Linux,Linux,91581c4b3f29e2e22aeb1a62e842d529ca638b2d,CVE-2025-21661
Linux,Linux,939ccd107ffcade20c9c7055a2e7ae0fd724fb72,CVE-2025-21650
Linux,Linux,95698ff6177b5f1f13f251da60e7348413046ae4,CVE-2025-21676
Linux,Linux,9cc1c73ad66610bffc80b691136ffc1e9a3b1a58,CVE-2025-21648
Linux,Linux,a32c7caea292c4d1e417eae6e5a348d187546acf,CVE-2025-21684
Linux,Linux,a84978a9cda68f0afe3f01d476c68db21526baf1,CVE-2025-21629
Linux,Linux,ac3b5366b9b7c9d97b606532ceab43d2329a22f3,CVE-2025-21671
Linux,Linux,b10ebd34cccae1b431caf1be54919aede2be7cbe,CVE-2025-21664
Linux,Linux,b14878ccb7fac0242db82720b784ab62c467c0dc,CVE-2025-21638
Linux,Linux,b2ed33e8d486ab2f1920131dd76fab38c8ef3550,CVE-2025-21685
Linux,Linux,c0cfa2d8a788fcf45df5bf4070ab2474c88d543a,"CVE-2025-21666, CVE-2025-21669"
Linux,Linux,c3e9f888263bb4df11cbd623ceced02081cb2f9f,CVE-2025-21646
Linux,Linux,c6a58ffed53612be86b758df1cdb0b0f4305e9cb,CVE-2025-21635
Linux,Linux,c9474b726b932b5d555effd9ed0ae19f4da2367c,CVE-2025-21644
Linux,Linux,d1b2d2a9c912fc7b788985fbaf944e80f4b3f2af,CVE-2025-21660
Linux,Linux,d1e462a7a5f359cbb9a0e8fbfafcfb6657034105,CVE-2025-21636
Linux,Linux,d8ca113724e79b324f553914cefa9dd6961de152,CVE-2025-21663
Linux,Linux,daad878a509d69da1761106cb48c091dfe9d522d,CVE-2025-21642
Linux,Linux,dc48516ec7d369c6b80bf9f14d774287b6c428aa,CVE-2025-21675
Linux,Linux,e5dfb815181fcb186d6080ac3a091eadff2d98fe,CVE-2025-21653
Listamester,Listamester,Unknown,CVE-2025-24678
Lucia Intelisano,Live Flight Radar,Unknown,CVE-2025-22824
LukaszWiecek,Smart DoFollow,Unknown,CVE-2025-25152
Luxion,KeyShot Viewer,12.1.1.11,CVE-2025-0412
M Bilal M,Urdu Formatter – Shamil,Unknown,CVE-2025-22531
M-Files Corporation,M-Files Server,0,"CVE-2025-0619, CVE-2025-0635, CVE-2025-0648"
M.J,WP-Player,Unknown,CVE-2025-23947
MDJM,MDJM Event Management,Unknown,CVE-2025-22714
MORKVA,Morkva UA Shipping,Unknown,CVE-2025-24685
MORKVA,Shipping for Nova Poshta,Unknown,CVE-2025-24612
MacWarrior,clipbucket-v5,< 5.5.1 - 237,CVE-2025-21622
MacWarrior,clipbucket-v5,< 5.5.1 - 238,CVE-2025-21623
MacWarrior,clipbucket-v5,< 5.5.1 - 239,CVE-2025-21624
MagePeople Team,Booking and Rental Manager,Unknown,CVE-2025-22720
MagePeople Team,Taxi Booking Manager for WooCommerce,Unknown,CVE-2025-24661
MagePeople Team,WpTravelly,Unknown,CVE-2025-22737
Magic Plugin Factory,Magic Google Maps,Unknown,CVE-2025-23935
Mahadir Ahmad,MHR-Custom-Anti-Copy,Unknown,CVE-2025-23817
Mahbubur Rahman,Post Meta,Unknown,CVE-2025-24549
Mahdi Khaksar,mybb Last Topics,Unknown,CVE-2025-23749
Mahesh Bisen,Contact Form 7 – CCAvenue Add-on,Unknown,CVE-2025-23623
Mahesh Waghmare,MG Parallax Slider,Unknown,CVE-2025-22330
MantraBrain,Sikshya LMS,Unknown,CVE-2025-24630
Manuel Costales,GMap Shortcode,Unknown,CVE-2025-23893
Marcel Pol,Gwolle Guestbook,Unknown,CVE-2025-24710
Marco Almeida | Webdados,Taxonomy/Term and Role based Discounts for WooCommerce,Unknown,CVE-2025-24625
Marcon Simone,Wp advertising management,Unknown,CVE-2025-22358
Marcus C. J. Hartmann,mcjh button shortcode,Unknown,CVE-2025-22558
Marcus Downing,Site PIN,Unknown,CVE-2025-22576
Marian Kanev,Cab fare calculator,Unknown,CVE-2025-23982
Mario Mansour and Geoff Peters,TubePress.NET,Unknown,CVE-2025-22559
Mark Barnes,Style Tweaker,Unknown,CVE-2025-25160
Markus Liebelt,Chess Tempo Viewer,Unknown,CVE-2025-23868
Martijn Scheybeler,Social Analytics,Unknown,CVE-2025-23743
MarvinLabs,WP PT-Viewer,Unknown,CVE-2025-23438
Masoud Amini,Zarinpal Paid Download,Unknown,CVE-2025-22766
Massimo Serpilli,Incredible Font Awesome,Unknown,CVE-2025-23927
Matt Gibbs,Admin Cleanup,Unknown,CVE-2025-23832
Matt van Andel,Custom List Table Example,Unknown,CVE-2025-23808
Mattermost,Mattermost,0,"CVE-2025-0476, CVE-2025-20036, CVE-2025-20072, CVE-2025-20630, CVE-2025-21083"
Mattermost,Mattermost,10.0.*,CVE-2025-22445
Mattermost,Mattermost,10.2.0,"CVE-2025-20033, CVE-2025-20086, CVE-2025-20088, CVE-2025-20621, CVE-2025-21088"
Mattermost,Mattermost,9.11.0,CVE-2025-22449
"Matthew Blackford, LimeSquare Pty Ltd",Lime Developer Login,Unknown,CVE-2025-23701
Matthew Garvin,BizLibrary,Unknown,CVE-2025-23580
Matthias Wagner - FALKEmedia,Caching Compatible Cookie Opt-In and JavaScript,Unknown,CVE-2025-24547
Max Chirkov,FlexIDX Home Search,Unknown,CVE-2025-25082
MaxD,Lightning Module,4.43,CVE-2025-0974
Maxim Glazunov,XML for Avito,Unknown,CVE-2025-24646
Mayur Sojitra,Flying Twitter Birds,Unknown,CVE-2025-23710
Md. Rajib Dewan,Opencart Product in WP,Unknown,CVE-2025-22335
"MediaTek, Inc.","MT2737, MT6781, MT6789, MT6835, MT6855, MT6878, MT6879, MT6880, MT6886, MT6890, MT6895, MT6897, MT6980, MT6983, MT6985, MT6989, MT6990, MT8370, MT8390","Android 12.0, 13.0, 14.0, 15.0 / openWRT 19.07, 21.02, 23.05 / Yocto 4.0 / RDK-B 22Q3, 24Q1",CVE-2025-20635
"MediaTek, Inc.","MT2737, MT6813, MT6835, MT6835T, MT6878, MT6878M, MT6879, MT6886, MT6895, MT6895TT, MT6896, MT6897, MT6899, MT6980, MT6980D, MT6983, MT6983T, MT6985, MT6985T, MT6989, MT6989T, MT6990, MT6991, MT8673, MT8676, MT8678, MT8795T, MT8798, MT8863","Modem NR16, NR17, NR17R",CVE-2025-20634
"MediaTek, Inc.","MT6580, MT6739, MT6761, MT6765, MT6768, MT6779, MT6781, MT6785, MT6789, MT6833, MT6835, MT6853, MT6855, MT6873, MT6877, MT6879, MT6883, MT6885, MT6886, MT6889, MT6893, MT6895, MT6983, MT6985, MT8321, MT8385, MT8666, MT8667, MT8673, MT8755, MT8765, MT8766, MT8768, MT8771, MT8775, MT8781, MT8786, MT8788, MT8789, MT8791T, MT8795T, MT8796, MT8797, MT8798","Android 12.0, 13.0, 14.0, 15.0",CVE-2025-20636
"MediaTek, Inc.","MT6739, MT6761, MT6765, MT6768, MT6771, MT6779, MT6781, MT6785, MT6833, MT6853, MT6873, MT6877, MT6885, MT6893, MT8167, MT8167S, MT8175, MT8185, MT8195, MT8321, MT8362A, MT8365, MT8385, MT8395, MT8666, MT8667, MT8673, MT8675, MT8678, MT8765, MT8766, MT8768, MT8771, MT8775, MT8781, MT8786, MT8788, MT8789, MT8791T, MT8795T, MT8797, MT8798, MT8893","Android 12.0, 13.0, 14.0, 15.0","CVE-2025-20638, CVE-2025-20639, CVE-2025-20640, CVE-2025-20641, CVE-2025-20642, CVE-2025-20643"
"MediaTek, Inc.","MT7603, MT7615, MT7622, MT7915",SDK release 7.4.0.1 and before,CVE-2025-20633
"MediaTek, Inc.","MT7615, MT7622, MT7663, MT7915, MT7916, MT7981, MT7986",SDK release 7.6.7.2 and before,"CVE-2025-20631, CVE-2025-20632"
"MediaTek, Inc.","MT7981, MT7986",SDK release 7.6.7.0 and before,CVE-2025-20637
Meinturnierplan.de Team,MeinTurnierplan.de Widget Viewer,Unknown,CVE-2025-23941
Melodic Media,Slide Banners,Unknown,CVE-2025-25120
MetaSlider,Responsive Slider by MetaSlider,Unknown,CVE-2025-24533
Metagauss,Event Kikfyre,Unknown,CVE-2025-25110
Metagauss User Registration Forms,RegistrationMagic,Unknown,CVE-2025-24686
Metaphor Creations,Post Duplicator,Unknown,CVE-2025-24736
Metatagg Inc,Custom WP Store Locator,Unknown,CVE-2025-24676
MetricThemes,Munk Sites,Unknown,CVE-2025-25101
MicahParks,jwkset,">= 0.5.0, < 0.6.0",CVE-2025-22149
MicroWorld,eScan Antivirus,7.0.32,"CVE-2025-0797, CVE-2025-0798"
Microsoft,.NET 8.0,8.0.0,CVE-2025-21173
Microsoft,Azure AI Face Service,Unknown,CVE-2025-21415
Microsoft,Dynamics 365 Sales,Unknown,CVE-2025-21177
Microsoft,Marketplace SaaS,Unknown,CVE-2025-21380
Microsoft,Microsoft 365 Apps for Enterprise,16.0.1,"CVE-2025-21363, CVE-2025-21364, CVE-2025-21365"
Microsoft,Microsoft Account,Unknown,CVE-2025-21396
Microsoft,Microsoft AutoUpdate for Mac,0,CVE-2025-21360
Microsoft,Microsoft Edge (Chromium-based),1.0.0,"CVE-2025-21185, CVE-2025-21262, CVE-2025-21267, CVE-2025-21279, CVE-2025-21283, CVE-2025-21342, CVE-2025-21404, CVE-2025-21408"
Microsoft,Microsoft Edge Update Setup,1.0.0.0,CVE-2025-21399
Microsoft,Microsoft Edge for Android,1.0.0,CVE-2025-21253
Microsoft,Microsoft Office 2019,19.0.0,"CVE-2025-21186, CVE-2025-21345, CVE-2025-21346, CVE-2025-21356, CVE-2025-21357, CVE-2025-21366, CVE-2025-21395"
Microsoft,Microsoft Office LTSC for Mac 2021,16.0.1,"CVE-2025-21361, CVE-2025-21402"
Microsoft,Microsoft Purview,Unknown,CVE-2025-21385
Microsoft,Microsoft SharePoint Enterprise Server 2016,16.0.0,"CVE-2025-21344, CVE-2025-21348, CVE-2025-21393"
Microsoft,Microsoft Visual Studio 2017 version 15.9 (includes 15.0 - 15.8),15.9.0,"CVE-2025-21172, CVE-2025-21176, CVE-2025-21178"
Microsoft,Microsoft Visual Studio 2022 version 17.12,17.0,CVE-2025-21405
Microsoft,Office Online Server,1.0.0,"CVE-2025-21354, CVE-2025-21362"
Microsoft,On-Premises Data Gateway,1.0.0,CVE-2025-21403
Microsoft,Power Automate for Desktop,1.0.0.0,CVE-2025-21187
Microsoft,PowerShell 7.5,7.5.0,CVE-2025-21171
Microsoft,Windows 10 Version 1809,10.0.17763.0,"CVE-2025-21189, CVE-2025-21202, CVE-2025-21207, CVE-2025-21210, CVE-2025-21211, CVE-2025-21213, CVE-2025-21214, CVE-2025-21215, CVE-2025-21217, CVE-2025-21219, CVE-2025-21220, CVE-2025-21223, CVE-2025-21226, CVE-2025-21227, CVE-2025-21228, CVE-2025-21229, CVE-2025-21230, CVE-2025-21231, CVE-2025-21232, CVE-2025-21233, CVE-2025-21236, CVE-2025-21237, CVE-2025-21238, CVE-2025-21239, CVE-2025-21240, CVE-2025-21241, CVE-2025-21242, CVE-2025-21243, CVE-2025-21244, CVE-2025-21245, CVE-2025-21246, CVE-2025-21248, CVE-2025-21249, CVE-2025-21250, CVE-2025-21251, CVE-2025-21252, CVE-2025-21255, CVE-2025-21256, CVE-2025-21257, CVE-2025-21258, CVE-2025-21260, CVE-2025-21261, CVE-2025-21263, CVE-2025-21265, CVE-2025-21266, CVE-2025-21269, CVE-2025-21270, CVE-2025-21271, CVE-2025-21272, CVE-2025-21273, CVE-2025-21274, CVE-2025-21277, CVE-2025-21278, CVE-2025-21280, CVE-2025-21281, CVE-2025-21282, CVE-2025-21284, CVE-2025-21285, CVE-2025-21286, CVE-2025-21287, CVE-2025-21288, CVE-2025-21289, CVE-2025-21290, CVE-2025-21291, CVE-2025-21292, CVE-2025-21293, CVE-2025-21294, CVE-2025-21295, CVE-2025-21296, CVE-2025-21298, CVE-2025-21299, CVE-2025-21300, CVE-2025-21301, CVE-2025-21302, CVE-2025-21303, CVE-2025-21304, CVE-2025-21305, CVE-2025-21306, CVE-2025-21307, CVE-2025-21308, CVE-2025-21310, CVE-2025-21312, CVE-2025-21316, CVE-2025-21318, CVE-2025-21319, CVE-2025-21320, CVE-2025-21324, CVE-2025-21327, CVE-2025-21328, CVE-2025-21330, CVE-2025-21331, CVE-2025-21336, CVE-2025-21338, CVE-2025-21339, CVE-2025-21340, CVE-2025-21341, CVE-2025-21374, CVE-2025-21378, CVE-2025-21382, CVE-2025-21389, CVE-2025-21409, CVE-2025-21411, CVE-2025-21413, CVE-2025-21417"
Microsoft,Windows 10 Version 21H2,10.0.19043.0,"CVE-2025-21325, CVE-2025-21333, CVE-2025-21334, CVE-2025-21335"
Microsoft,Windows 11 version 22H2,10.0.22621.0,"CVE-2025-21343, CVE-2025-21370"
Microsoft,Windows Server 2019,10.0.17763.0,"CVE-2025-21193, CVE-2025-21218, CVE-2025-21225, CVE-2025-21297, CVE-2025-21309"
Microsoft,Windows Server 2022,10.0.20348.0,"CVE-2025-21224, CVE-2025-21234, CVE-2025-21235, CVE-2025-21275, CVE-2025-21317, CVE-2025-21323"
Microsoft,Windows Server 2025,10.0.26100.0,"CVE-2025-21321, CVE-2025-21326, CVE-2025-21329, CVE-2025-21332"
Microsoft,Windows Server 2025 (Server Core installation),10.0.26100.0,"CVE-2025-21268, CVE-2025-21276, CVE-2025-21311, CVE-2025-21313, CVE-2025-21314, CVE-2025-21315, CVE-2025-21372"
Microword,eScan Antivirus,7.0.32,CVE-2025-0720
Mighty Digital,Partners,Unknown,CVE-2025-22751
Mihajlovic Nenad,Improved Sale Badges – Free Version,Unknown,CVE-2025-23949
Mike Selander,WP Options Editor,Unknown,CVE-2025-23797
Milan Petrovic,GD Mail Queue,Unknown,CVE-2025-24608
Miloš Đekić,Inline Tweets,Unknown,CVE-2025-22570
Mind Doodle,Mind Doodle Visual Sitemaps & Tasks,Unknown,CVE-2025-22544
Mindskip,xzs-mysql 学之思开源考试系统,3.9.0,"CVE-2025-1082, CVE-2025-1083, CVE-2025-1084"
Mindvalley,MindValley Super PageMash,Unknown,CVE-2025-22502
MobSF,Mobile-Security-Framework-MobSF,= 4.3.0,"CVE-2025-24803, CVE-2025-24804, CVE-2025-24805"
Mobotix,M15,4.3.4.83,CVE-2025-0576
Modeltheme,MT Addons for Elementor,Unknown,CVE-2025-22811
